route,whse,region,total_time,on_time
1,0,1,45.60439848555022,1.0
1,0,0,45.11606327633011,1.0
3,1,2,46.44856492524445,1.0
2,1,3,47.639806083938176,1.0
2,1,3,47.68970280984456,1.0
5,2,5,40.38906519395583,1.0
1,0,1,38.78110230496382,1.0
3,1,3,43.08484691243054,1.0
5,2,5,47.821932848751544,1.0
4,2,5,39.94610086709811,1.0
1,0,0,48.26405015586065,0.0
3,1,2,44.93458204010587,1.0
2,1,2,43.05695769860034,1.0
3,1,2,39.814717440662825,1.0
4,2,5,43.47753956761735,1.0
0,0,0,39.14828368938499,1.0
0,0,0,45.654276794647856,1.0
3,1,2,38.20868379095084,1.0
0,0,0,44.070507032974206,1.0
3,1,2,46.66653040280117,1.0
3,1,2,41.281730184729554,1.0
1,0,1,43.38202753474219,1.0
0,0,0,42.41375691622224,1.0
4,2,4,50.00590930931307,0.0
0,0,1,38.87371879691494,1.0
0,0,1,44.26073417287534,1.0
2,1,2,47.728017413312024,1.0
4,2,4,41.57248495266203,1.0
2,1,2,44.48122188288955,1.0
0,0,1,40.43258296412609,1.0
0,0,0,45.62811910320381,1.0
5,2,5,40.642881066018774,1.0
0,0,1,45.313412295966565,1.0
5,2,4,42.50813611103224,1.0
5,2,5,46.095608202650276,1.0
0,0,1,41.721058253121306,1.0
0,0,1,50.096348844735616,0.0
1,0,0,44.409764065691824,1.0
4,2,5,44.410185467799394,1.0
1,0,1,39.38543829386302,1.0
4,2,4,42.28364731884405,1.0
3,1,3,40.592635539084434,1.0
0,0,1,42.6865435225151,1.0
5,2,4,39.59299617601742,1.0
1,0,0,45.383147756220104,1.0
4,2,5,44.24516905116461,1.0
1,0,1,42.39594997715273,1.0
1,0,0,47.59389113751634,1.0
3,1,2,39.945182837098265,1.0
1,0,1,49.22830552358247,0.0
4,2,4,43.85466757291109,1.0
4,2,4,48.23929070634279,0.0
0,0,0,46.68501054930145,1.0
4,2,5,43.23601648115781,1.0
3,1,3,38.22751049864134,1.0
4,2,5,41.28969144634635,1.0
5,2,4,40.66967861282664,1.0
1,0,0,42.03010966702008,1.0
0,0,1,42.47649980682565,1.0
2,1,3,46.13724102077654,1.0
2,1,3,50.24043197867839,0.0
5,2,4,42.44248832311676,1.0
3,1,3,45.42431633136872,1.0
2,1,3,43.85962695498572,1.0
3,1,2,43.771200645067765,1.0
1,0,1,45.63086894344548,1.0
3,1,3,46.26784346345763,1.0
1,0,0,44.00500890807686,1.0
0,0,0,43.52806239547456,1.0
2,1,3,44.120596476282515,1.0
4,2,4,42.817367397176035,1.0
